doc,tag,annotation
1935 - Studies in Nocturnal Ecology.xml,"artificial environment ; again that need for consistency and flexibility is driving the nature of the apparatus and experiences for different species, also the growing connection between control and analysis of data","resistance, food or a part of the environment cannot be added as the plate would become unbalanced permanently for the experiment; even the accumu- lation of faecal pellets in certain species of insects over twenty-four hours would at times overbalance the disk. Hence an artificial environment must be reckoned with in interpretation of the data,"
1935 - Studies in Nocturnal Ecology.xml,"data, apparatus, laboratory, field ; the distinction between supplies in the field and lab and how it shapes data to create comparisons","Data taken with this apparatus in the laboratory can be supplemented by obtaining data in the field with a compact, duplicate unit, using the storage battery of an automobile, and a clock-works for the transformer, and electric clock respectively."
1935 - Studies in Nocturnal Ecology.xml,further analysis ; it seems like the introduction of this piece is meshed with peer review analyses and there is no methods section. Analysis is also methodological rather than quantitative (based on results),"The unit can be sheltered from falling leaves or strong winds by appropriate screens, and data compiled under normal habitat con- ditions. Further electromagnets drawing pens over the record can be used in place of the sparking coil, in either laboratory or field. FURTHER ANALYSIS OF NOCTURNAL ACTIVITY"
1935 - Studies in Nocturnal Ecology.xml,categories ; ,"It was shown previously (Park and Keller, '32) that species active at night belonged to at least two categories, viz., their activity apparently was largely controlled by the operative environmental factor complex (Environ- mental Type), or the activity was more or less inherently rhythmic and con- sequently apparently not affected by changes within the normal environmental limits (Inherent Type). Lutz ('32b) also found inherent activity in three more species of insects, using the Lutz recording apparatus mentioned earlier."
1935 - Studies in Nocturnal Ecology.xml,"objective ; objectivity shows up again - these eye measurements are seen as impercise and this author wanted to change the methodology to be so an appartus takes the measurement, not the human ","The work done by Park and Keller was subjective to the extent that change in position of marked individuals was measured by eye, and there was the further objection of illuminating the experimental chamber for a few seconds each hour. Although it was felt that the results obtained were sound, an objective check of the problem was necessary. The recording apparatus described in this article was developed therefore, and a part of the data taken with this instrument over the last two years are given at this timie."
1935 - Studies in Nocturnal Ecology.xml,large numbers; the apparatus is molding the experiment before the experimental quesiton has even been asked,"It has been rather difficult to acquire suitable experimental material due to the following limitations: (1) the species must be common enough to be obtained in relatively large numbers from its natural habitat; (2) heavy enough to strongly depress the suspended disk in the experimental cabinet (1 to 2 gms.); (3) flightless, or at least unable to escape from this walled- disk."
1935 - Studies in Nocturnal Ecology.xml,Results ; a clearly marked results section,Results with Iassalits coru -intls
1935 - Studies in Nocturnal Ecology.xml,table 1 ; ,The following table (table I) summarizes the results obtained in analysing activity cycles of solitary Passalus corn utus
1935 - Studies in Nocturnal Ecology.xml,"laboratory ; methods in the lab explained, temperature ranges and rates of evaporation, etc. given in detail","In part of the trials the cabinet was kept in the laboratory, and partly kept in a basement where the maximum summer fluctuation was only 3.30 C. Within the experimental cabinet the average temperature range was 2 degrees (22.6 to 24.6? C.), with a minimum 24 hour fluctuation of zero to a maximum of 3.5 degrees. The average rate of evaporation in the cabinet was 0.32 cc. per hour, with a nmini- mum hourly rate of zero at saturation, to a maximum hourly rate of 0.44 cc. in other trials. The cabinet interior was in total darkness."
1935 - Studies in Nocturnal Ecology.xml,table 1 ; Clear table title and format as modern day papers could show,TABLE I. Activity of single Passalus cornituis for 24 consecutive hours in total darkness Night Day Total Activity Activity
1935 - Studies in Nocturnal Ecology.xml,"little appreciable affect, individualized ; tested for and found no experimental effects, which defines a control and seems to reveal the behavior of the species more individually (the witnessing of the individualization of science)","From this table we see that apparently time of year. time of start of trial, familiarity with apparatus as indicated by trial sequence, and interval spent in laboratory have little appreciable affect upon the character of the activity. As expected, some animals tended to give individualized behavior, as was indi- cated earlier for another beetle, Patrobus ionqgicornis"
1935 - Studies in Nocturnal Ecology.xml,parallel the physical conditions ; what is the relationship between the laboratory and the field? How is this scientist understanding it without testing it?,"The experimental conditions of darkness, constant moisture, temperature, etc., at least parallel the physical conditions obtaining in the natural log habitat."
1935 - Studies in Nocturnal Ecology.xml,"per cent, averages ;","The daily activity is roughly 54 per cent, and the nightly activity is 46 per cent, of the total, and these averages are not applicable to all individuals."
1935 - Studies in Nocturnal Ecology.xml,FIG. 2 ; hand-drawn figure? and neat figure legend with details as we might expect today,"FIG. 2. Arhythmic Activity of Individual Passalls cornutus in Total Darkness. Temperature, humidity and evaporation rate practically constant. Arrows indicate start of each trial."
1935 - Studies in Nocturnal Ecology.xml,"postulate ; categorizing, creating a new category based on findings","addition to the Inherent and Environmental types of activity rhythms, defined previously, we are led to postulate a third, or Arhythmic type. The following graphs (fig. 2) illustrate this third condition."
1935 - Studies in Nocturnal Ecology.xml,"social instincts, solitary species; categorization between social and solitary specie behavior and the relationship with rhythms of activity","since the passalids in general are equipped with a body of social "" instincts,"" live in colonies and care for their young (cf. account .of Ohaus in Wheeler ('23); Miller ('32)). Further investigation may show that the social spe- cies of insects, e.g. the ants, etc. have less inherently fixed rhythms of ac-This content downloaded from 98.193.32.14 on Thu, 01 Jul 2021 17:04:16 UTCAll use subject to https://about.jstor.org/terms I58 ORLANDO PARK Ecology, Vol. 16, No. 2 tivity than the solitary species."
1935 - Studies in Nocturnal Ecology.xml,"causal factor; these analyses, conclusions on the data are mixed with the results (no separate discussion section), scientist is also trying to determine the direciton of causality in their expeiment","If this is true, the social habit may be advanced either as a possible outcome of the arhythmic condition, or as an underlying causal factor for the appearance of this aperiodicity."
1935 - Studies in Nocturnal Ecology.xml,Results ; a clearly marked results section,Results with Spiroboluis mnargini-atits
1935 - Studies in Nocturnal Ecology.xml,FIG.3 ; ,"FIG. 3. Inherent Nocturnal Activity of Spiwrobolus warginlatufs. Showing relation of total, nocturnal, and diurnal activity in constant darkness, temperature and humidity to rhythm persistence, vs. starvation. Weight at start of experiment 1.50 grams; weight at death 0.86 grams. Note that for the first fifteen twenty-four hour periods the starv- ing animal manifested 88 per cent of nocturnal activity as against 8.5 per cent of di- urnal activity, and that the relative inactivity increased with increase of hunger and fatigue."
1935 - Studies in Nocturnal Ecology.xml,without anything to eat or drink; experiment ran until death of the subject (ethics?),"After the innate nature of the rhythm had been established, individuals were allowed to remain in the experimental cage, without anything to eat or drink. As would be expected under such conditions. they lived from ten to eighteen days, with a gradual decrease in weight and activity."
1935 - Studies in Nocturnal Ecology.xml,TABLE III ;,"TABLE III. The effect of starvation upon the Inherent Nocturnal Activity of a Spiro- bolus marginatus until death (432 hours), under constant darkness, humidity, tem- perature and evaporation rate. Weight at start (3:00 P.M., June 28), 1.50 grams; Weight at death (3:00 P.M. to 10:15 P-vr., July 16), 0.86 grams. (Hours '; Minute- "")"
1935 - Studies in Nocturnal Ecology.xml,"dead-seated mechanism, percent, hours ; what sort of theory of evolution is this scientist proposing? Their ecology theory was the social vs. solitary theory of specie units but what about traits?","Thus in the experiment graphed, of a total of 432 hours spent in the dark experimental chamber, roughly 88% of the activity of the starving animal was at night, and 8.5%o during the day. Hence we are led to believe that their innate activity is a deep-seated mechanism."
1935 - Studies in Nocturnal Ecology.xml,significance ; the significance section resembles the end of the discussion,SIGNIFICANCE OF RHYTHMIC ACTIVITY TO CERTAIN PROBLEMS
1935 - Studies in Nocturnal Ecology.xml,internal states ; internal states gets at the idea of traits and adaptation in a subtle way,"Before the writer began studying nocturnal animals, he held a too gen- eralized concept of protoplasmic response to environmental stimuli. The literatures of experimental physiology and development gave innumerable examples of the modifiability of response, and within the confines of ecology, it was obvious that such phenomena as aggregation, hibernation, and others could be controlled by certain techniques. From such a position it was easy to assume that, granting a peculiar genetic matrix, the autecology of any species was a series of responses, called into being by internal states but strictly under the control of the environmental complex."
1935 - Studies in Nocturnal Ecology.xml,"experimentally modified ; the purpose of the lab and the experiment is to create specific responses and stimuli, expand modification ",This reversal does not disprove the innate nature of the cycle; rather it shows us that the rhythm can be experimentally modified.
1935 - Studies in Nocturnal Ecology.xml,habits or instincts; the word the scientist may be looking for is trait,"Neither does it clarify the problem to term such periodic activities habits or instincts. To this end, critical study of the affects of each operating factor and combination of factors should further our knowledge of nocturnal activity."
1935 - Studies in Nocturnal Ecology.xml,the type...they manifest ; again the notion of traits and population dynamics/adaption of traits is strong here even though not explicit,"From this it appears unsafe to draw conclusions as to the cause or nature of population activity or movements within a community, unless at least the characteristic species have been thoroughly studied experi- mentally to determine the type of activity rhythm they manifest. A great amount of autecological work is indicated."
1935 - Studies in Nocturnal Ecology.xml,"heredity ; the need of a control and the laboratory spurred by the need to define evolution as a concept, had evolution not been the main ideological framework, would we have labs?","Naturally, the degree of inherent and of environmentally-induced activity is important as bearing upon the ageless problem of heredity and environment. Further, in species which may have inherent rhythms, there lies the further problem of the nature of the control, e.g., whether genetic, hormonal or both."
1935 - Studies in Nocturnal Ecology.xml,"far more exact methods and controlled experiments are needed ; precision and accuracy rising in demand in order to understand the split or relatinship between environment and subject, this idea could have been heighted by the idea of individualism in human capitalist culture","However the question arises to what ex- tent, if any, is this species activity inherent, and to what extent environ- mental. Further, inherent temperature rhythms may be looked for, even in cold-blooded animals. Far more exact methods and controlled experiments are needed to investigate this group of problems."
1945 - Measures of the Amount of Ecological Association Between Species.xml,quantitative ; ,"In many ecologic studies there is need to express in a quantitative manner the degree to which two different species are associated in nature. Nevertheless, no such measure has up to the present time come into general use by ecologists."
1945 - Measures of the Amount of Ecological Association Between Species.xml,measures of association ; a historical outline of statistical practices being used in ecology,"Of the measures of association between species previously proposed, the ""coeffi- cient of association"" of Forbes ('07) is useful, though no estimate of its statisti- cal reliability has in the past been em- ployed. The ""coefficient of association"" of Michael ('20) is too complicated for general use. The ""association value"" of Hacker ('21) varies with the total num- ber of associations between all the species in a given locality and therefore is im- practicable for most field studies. Van Deventer ('36) has calculated the per- centage of association between certain species of birds, but his brief statement gives no details of the method of compu- tation. Recently Edmondson ('44) ap- plied the chi-square test as a measure of the deviation from chance expectation of the occurrences together of two given species of rotifers in a series of lakes, but he did not use any measure of the amount of association between the species."
1945 - Measures of the Amount of Ecological Association Between Species.xml,"the degree to which the association be ; Forbes, to this researcher, makes a greater impact in helping ecologists compare species than other statistical methods","This formula is exactly that proposed by Forbes, except that the symbols are different. A coefficient of association of 1.0 shows that the two species under con- sideration occur together in exactly the number of sample units expected by chance. A coefficient smaller than 1.0 shows that they occur together in fewer samples than would be expected by chance. For example, a coefficient of 0.5 shows that they are found together only half as frequently as expected by chance. Similarly, a coefficient larger than 1.0 indicates that the species being com- pared are associated more frequently than would be expected by chance alone. The coefficient of association therefore gives a readily understandable indication of the degree to which the association be- tween any two species conforms to ex- pectation on the basis of chance."
1945 - Measures of the Amount of Ecological Association Between Species.xml,deviation from expectation ; this is smart - the researcher redefines or more precisely defines what the coefficient of association is in the context of an ecology system,"Any deviation from expectation may result in a very high or very low value for the coefficient of association. A high coefficient there- fore does not necessarily mean that the two forms are strongly associated, nor does a low coefficient always indicate that the forms are strongly repulsed. A coefficient of 1.0 shows that the two forms were observed to occur together in exactly the number of samples expected by chance, but it does not necessarily indicate that the forms do not tend to be associated. The coefficient of associa- tion is therefore not a measure of the amount of association between species, but only a measure of the amount of the deviation of the number of their occur- rences together from the number ex- pected by chance."
1945 - Measures of the Amount of Ecological Association Between Species.xml,association index ; author proposing own statistical method that mostly seems like a proportions formula but puts it into the context of ecological systems ,"To provide a simple and direct measure of the amount of association between any given species (A), taken as the basis of comparison, and any other species (B) I here propose the association index. This index is obtained by dividing the number (a) of random samples of a given series in which species A occurs into the number (h) of samples in which species A and B occur together. Therefore: Association index B/A = h/a. The formula for the reciprocal index is: Association index A/B = h/b. For example, if species A should occur on a total of 40 sample plots (a = 40), and if species B should occur together with A on 30 of these plots (t = 30), then the association index of species B with species A (B/A) would be 30/40 = 0.75. This index shows that on three- quarters of the plots on which species A occurred, it was associated with B."
1945 - Measures of the Amount of Ecological Association Between Species.xml,may differ depending ; researcher trying to generalize ecological relations in a numerical way while giving caution about the value of ecological context,It will be noted that the association in- dex may differ depending on which spe- cies is used as the basis of comparison. Such a difference may point out an im- portant ecologic relation between the two species.
1945 - Measures of the Amount of Ecological Association Between Species.xml,coincidence index ; ,"In some ecologic studies it will be de- sirable to use a measure of the amount of association between species that does not change depending on which species is used as a base. Such a measure, here called the coincidence index, has a value intermediate between the reciprocal asso- ciation indices A/B and B/A. Thus: Coincidence index = 2h a+b In the example previously given the coin- cidence index would be (2 X 30)/(30 + 40) = 60/70 = 0.86. The coincidence index therefore is a measure of the amount of association between both the two species compared."
1945 - Measures of the Amount of Ecological Association Between Species.xml,"chi-square test, data ; researcher is trying to answer the quetstion of how significant are these associations?","No statistical test of the reliability of any of these measures of association has been devised. However, the chi-square test (Snedecor, '40: 16-19) will show whether the combinations of species in the samples of a particular series may possibly be due to chance errors in ran- dom sampling. This test should there- fore always be applied to the data from which any association index, coincidence index, or coefficient of association is derived."
1945 - Measures of the Amount of Ecological Association Between Species.xml,TABLE 1. ; strong example of how another researcher could apply this researcher's statistics,TABLE I. Theoretical example of the association between two species (A and B) shown by 100 samples
1945 - Measures of the Amount of Ecological Association Between Species.xml,must therefore be due to some factor other than chance errors in random sampling ; chi-square significance determined and calculated in what would be seen as a precise way,"a = 25; b =40; n = 100; coefficient of association = 2.0; association index A/B =0.5; association index B/A = 0.8; coincidence index= 0.62; degree of freedom=1; X2=22.222. of a is 25, b is 40, and n is 100. The number of samples in which A and B are expected to occur together by chance (abin) is 10. The coefficient of associa- tion is accordingly 20/10 or 2.0, which shows that the two species in the example occur together twice as frequently as would be expected by chance. The asso- ciation index of species A with species B (A/B) is 20/40 = 0.5, and of species B with species A (B/A) is 20/25 = 0.8. The coincidence index is (2 X 20)/(25 + 40) = 40/65 = 0.62. In calculating the chi-square devia- tions in our example we used data from two species. The number of degrees of freedom is therefore one. The total chi- square is 22.222 (table I). From a table of the values of chi-square (Fisher, '36, table III; or Snedecor, '40, table 9.1) it is evident that this amount of chi-square with one degree of freedom is far above the one per cent. level of significance. The association of species A and B on the sample plots must therefore be due to some factor other than chance errors in random sampling."
1945 - Measures of the Amount of Ecological Association Between Species.xml,it is suggested ; interpretations offered by statistical analyses,"that there is a tendency in this situation for species A and B to be rather strongly associated in their distribution. From the difference in association indices, moreover, it is suggested that species A is somewhat more strongly associated with B than species B is with species A."
1945 - Measures of the Amount of Ecological Association Between Species.xml,"Yates' ""correction"" ; cautions that chi-square does not work with sample sizes lower than 5","The chi-square test is not reliable when the number of expected units in any class falls below five. If possible the expected number in each class should be ten or more. Should the number of samples available for a particular study neverthe- less be few and if there be only a single degree of freedom, Yates' ""correction"" (Snedecor, '40: 168-169) may be applied. It is better, however, in every field study of the amount of association between spe- cies to secure a sufficient number of sam- ples so that no class will contain less than ten expected units."
1945 - Measures of the Amount of Ecological Association Between Species.xml,care should therefore be taken ; certain conditions make it so that significance or no significance is tested but it does not fit the ecological context (meaning that stats is not absolute),"The magnitude of chi-square varies to some degree with the abundance of the species compared. Two strongly asso- ciated species might occur together on a large number of sample plots and yet, if both were abundant, the deviation from expectation might be slight and chi- square therefore small and not statisti- cally significant. Also, two species that have only a slight tendency toward as- sociation, if both were rare in the sam- ples, might occur together frequently enough to have a large and very signifi- cant chi-square. Care should therefore be taken not to interpret the magnitude of chi-square as indicating the strength of association between the species under consideration. On the other hand, the degree of significance of chi-square may be an indirect but valid measure of association."
1945 - Measures of the Amount of Ecological Association Between Species.xml,100 samples ; sample size matters,"A fully reliable measure of the amount of association be- tween two species will seldom be secured with much less than 100 samples,"
1945 - Measures of the Amount of Ecological Association Between Species.xml,must not be expected...statistics will alone solve all problems; cautions against thinking of statistics as a panacea ,"We may thus com- pare the occurrence of a given species with the simultaneous presence of rocks, logs, trees, clumps of bushes, or any other feature of the environment. It must not be expected, however, that the calcula- tion of these statistics will alone solve all the problems of the relationships between organisms and their environments."
1945 - Measures of the Amount of Ecological Association Between Species.xml,social behavior ; this section sounds like the discussion section of a paper where the author is assessing the pitfalls of these statistical tools and (what they can't do or omit),"Furthermore, no account has been taken, in these computations, of the possible tendency of the individuals to be associated with one another in pairs, families, or larger social aggrega- tions. The abundance and also the social be- havior of the individuals of any given species obviously affect the frequency with which the form appears in any kind of sample. Therefore the frequency with which any species appears in a given set of samples includes, to some degree, an indication both of its abun-"
1945 - Measures of the Amount of Ecological Association Between Species.xml,computing ;,computing the association between the species
1945 - Measures of the Amount of Ecological Association Between Species.xml,no methods...for predicting ; regression modeling which helps predict what will happen has not yet been applied and researcher states this roadblock,. No- methods have yet been devised for predicting the values of these measures of association under other pop- ulation densities or under other social groupings than those exhibited by a par- ticular sample series.
1945 - Measures of the Amount of Ecological Association Between Species.xml,size of units ; geographical implications not considered,The size of the units from which the samples are obtained influences all these measures of association. This is true because the frequency with which any species appears in a series of samples is dependent not only upon its density and its social tendencies but also upon the size of the area from which the sample is drawn.
1945 - Measures of the Amount of Ecological Association Between Species.xml,"heterogeneous samples...do not provide a sound basis ; limitations of statistics still, highlighting limits of Forbes' example","If the sample plots are of large size, almost all the species in the local biota, except only the rarer ones, will appear on a large proportion of the plots. On sample plots of small size, on the con- trary, even the most abundant species are likely to appear on only a small frac- tion of the plots. For this reason hetero- geneous samples, such as the collections of fish compared by Forbes ('07), do not provide a sound basis for the calculation of the amount of association between species."
1945 - Measures of the Amount of Ecological Association Between Species.xml,"the statistical sense, fully described ; the demand to make methods more explicit ","should be taken at random, using this term in the statistical sense. If any selection is used in locating the sample units the method of selection should be fully described."
1945 - Measures of the Amount of Ecological Association Between Species.xml,true only for the particular place and time ; researcher still struggling to make generalizations but limited by this truth,Any measure of association is of course true only for the particular place and time for which it is calculated.
1945 - Measures of the Amount of Ecological Association Between Species.xml,"does not in any way explain the reason for their association ; powerful to state, statistics is interpretative, not absolute or able explanative","The fact that two species may tend to occur together, as shown by a high asso- ciation index, coincidence index, or coeffi- cient of association, or by a significant chi-square deviation from expectation, does not in any way explain the reason for their association. It may be that the two forms are mutually attracted to one another or that one form is in some way dependent upon the other. The two species may, however, be associated only because of the presence in their habitat of certain features attractive or essential to both. In such a case the two asso- ciated species may have no relationship at all to one another, other than selection of the same habitat. These statistics at best are a measure only of the actual amount of association between two spe- cies rather than of the amount of attrac- tion between them."
1945 - Measures of the Amount of Ecological Association Between Species.xml,statistical reliability ;,"As a measure of the statistical reliability of the deviation shown by the samples of a given series from the amount of associa- tion expected by chance, the chi-square test may be used"
2018 - Citizen Data and Trust in Official Statistics.xml,political site of contention,"premises of another matter of concern, privacy‑by‑design ,"
2018 - Citizen Data and Trust in Official Statistics.xml,privacy-by-design,privacy‑by‑design
2018 - Citizen Data and Trust in Official Statistics.xml,scientific principles,"Six principles are that: official statistics must meet the test of practi-cal utility; be developed according to strictly professional considerations, scientific principles and professional ethics; present information on the scientific standards of their sources, methods and procedures; may be generated from all types of sources such as surveys or administrative records and the source chosen with regard to quality, timeliness, costs and the burden on respondents; are to be strictly confidential and used exclusively for statistical purposes; and the laws, regulations and mea-sures governing them should be public."
2018 - Citizen Data and Trust in Official Statistics.xml,privacy-by-design,"By employing privacy‑by‑design, privacy issues are addressed at the beginning of the design process, in con‑trast to other approaches that aim at solving privacy issues after software development is complete or leave privacy considerations to legal or regulatory frameworks."
2018 - Citizen Data and Trust in Official Statistics.xml,privacy-by-design,"The authors also emphasise that the lifecycle of soft‑ware must be considered when deciding on how to best protect privacy, including making plans for deleting data once the software reaches the end of its lifecycle"
2018 - Citizen Data and Trust in Official Statistics.xml,contextual integrity,"Contextual integrity demands that information gathering is kept appropriate to the context and obeys the governing norms of distribu‑tion within it. The key insight is that norms of distribution vary across cultures, historical periods, locales, and other factors. Additionally, contextual integrity requires awareness of not only the specific site of data production but also the relevance of related social institutions (Nissenbaum, 2009)."
2018 - Citizen Data and Trust in Official Statistics.xml,discrimination,"When indi‑vidually anonymised data are joined to create profiles, individuals who fit the profile could still experience effects even when they are not identified individually. For example, Graham (2005) discusses how software can be used to assign different categories to different parts of a city based on school performance, house prices, crime rates, etc., which might potentially orchestrate inequalities and discriminate inhab‑itants, even when they are not personally iden‑tified."
2018 - Citizen Data and Trust in Official Statistics.xml,policy solution,"General Data Protection Regulation (GDPR) in member states across the European Union, which is based on a broad understan‑ding of personal data and privacy and will end practices of general consent by default for the production of personal data."
2018 - Citizen Data and Trust in Official Statistics.xml,privacy-by-design,"By applying blockchain technology to privacy, it becomes possible to encrypt and distribute private data over a large network without requiring a trusted central server."
2018 - Citizen Data and Trust in Official Statistics.xml,privacy-by-design,We thus reconceive of privacy‑by‑design beyond software to include citizen privacy as a right that should be built into not only the frontend of software design but through relations with citizens as co‑producers in the production of official statistics.
2018 - Citizen Data and Trust in Official Statistics.xml,privacy-by-design,privacy is processual
2018 - Citizen Data and Trust in Official Statistics.xml,future,increase their identification with official statistics and possibly advance their role as also users of sta‑tistics. Indeed the latter may well be a collateral effect of co‑producing statistics with citizens in ways that are more in accordance with their experiences and knowledge.
2018 - Citizen Data and Trust in Official Statistics.xml,political site of contention,"Some would claim that this represents a “democratisation” of knowledge and the erosion of validated knowledge and expertise about societies. However, as Ruppert et al. (2013) contend, this widening distribu‑tion of data and analysis means that knowledge of societies does not cohere in single authorita‑tive accounts to the same extent that it perhaps did in the recent past. Instead, what consti‑tutes legitimate knowledge and expertise have become major sites of political contention and struggle as revealed in current debates about “alternative facts”."
2018 - Citizen Data and Trust in Official Statistics.xml,gatekeeping,"Proposals that NSIs need to thus defend the qua‑lity and legitimacy of official statistics through gatekeeping practices such as demonstrating their trustworthiness by making their statisti‑cal practices transparent and thus assessable, fact checking competing statistics, and “calling out bad numbers” certainly have a role to play."
2018 - Citizen Data and Trust in Official Statistics.xml,citizen science model,"However, they potentially play into the premise that what is at stake is winning a competition of “facts”. They ignore that what constitutes “pub‐ lic facts” should be open to democratic contes‐ tation and deliberation because they inevitably involve normative judgements about social meaning and choices about which experiential realities matter (Jasanoff &amp; Simmit, 2017)."
2018 - Citizen Data and Trust in Official Statistics.xml,co-production,Different modes of co‑production could be adopted that utilise the affordances of digital technologies and poten‑tially produce data that more closely aligns with the experiences and knowledge of citizens.
2018 - Citizen Data and Trust in Official Statistics.xml,new discourses (not new knowledge),"For example, aspects of statistical production that would need to be rethought are those of data standards and quality."
2018 - Citizen Data and Trust in Official Statistics.xml,new discourses (not new knowledge),"While possibly relegating such data to a diffe‑rent status and role, this response provides an opportunity to rethink how statistics are made “official”. That is, it suggests that there is not one mode of production or set of standards through which data can be made official."
2018 - Citizen Data and Trust in Official Statistics.xml,application?,We suggest that this also applies to existing methods that produce data for official statistics but which involve myriad standards and where quality is not singularly defined or measura‑ble.
2018 - Citizen Data and Trust in Official Statistics.xml,title,> DC:TITLE Citizen Data and Trust in Official Statistics gate.SourceURL file:/Users/anastasiabernat/Desktop/group_corpus/2018%20-%20Citizen%20Data%20and%20Trust%20in%20Official%20Statistics.pdf TIKA_META:AUTHOR Evelyn Ruppert ; Francisca Grommé ; Funda Ustek-Spilda ; Baki Cakici TIKA_DC:CREATOR Evelyn Ruppert ; Francisca Grommé ; Funda Ustek-Spilda ; Baki Cakici DC:CREATOR Evelyn Ruppert ; Francisca Grommé ; Funda Ustek-Spilda ; Baki Cakici MimeType application/pdf TIKA_DC:TITLE Citizen Data and Trust in Official Statistics META:AUTHOR Evelyn Ruppert ; Francisca Grommé ; Funda Ustek-Spilda ; Baki Cakici Citizen Data and Trust in Official Statistics
2018 - Citizen Data and Trust in Official Statistics.xml,citizen trust,"In addition to raising political and ethical issues of privacy, confidentiality and data protection , this calls for rethinkingrelations to citizens in the production of data for statistics if they are to be trusted by citizens."
2018 - Citizen Data and Trust in Official Statistics.xml,political site of contention,"We argue that in a time of “ alternativefacts”, what constitutes legitimate knowledge and expertise are major political sites of contention and struggle and requiregoing beyond defending existing practices towards inventing new ones."
2018 - Citizen Data and Trust in Official Statistics.xml,political site of contention,"raising political and ethical issues of privacy, confidentiality and data protection"
2018 - Citizen Data and Trust in Official Statistics.xml,citizen trust,the future ofofficial statistics not only depends on inventing new data sources and methods but also mobilising the possibilities ofdigital technologies to establish new relations with citizens
2018 - Citizen Data and Trust in Official Statistics.xml,year,2018
2018 - Citizen Data and Trust in Official Statistics.xml,political site of contention,"data access, data ownership, privacy and ethics, data representativeness, data quality and so on"
2018 - Citizen Data and Trust in Official Statistics.xml,political site of contention,such risks including the enforcement of ethical princi‑ples through instruments of accountability and informed consent; establishing strong compli‑ance controls; developing monitoring systems to track reputational threats; ensuring transpar‑ency and understanding through clear commu‑nication with stakeholders about the use of data and the organisation of dialogues with the pub‑lic; and creating a crisis communication plan
2018 - Citizen Data and Trust in Official Statistics.xml,solutions,That report summarised a number of strategies to mitigate such risks including the enforcement of ethical princi‑ples through instruments of accountability and informed consent; establishing strong compli‑ance controls; developing monitoring systems to track reputational threats; ensuring transpar‑ency and understanding through clear commu‑nication with stakeholders about the use of data and the organisation of dialogues with the pub‑lic; and creating a crisis communication plan .
2018 - Citizen Data and Trust in Official Statistics.xml,political site of contention,"Similar challenges are encountered when NSIs seek to repurpose administrative data generated by other government depart‑ments, which has introduced not only technical challenges but for some NSIs also raised con‑cerns about how data is shared, joined up and used for purposes other than for what they were originally generated."
2018 - Citizen Data and Trust in Official Statistics.xml,history of statistics,"The history of established methods of generating social and population statistics, such as census questionnaires, surveys and time dia‑ries demonstrates that elaborate practices have been required to secure citizens’ trust in how data is generated and used for official statis‑tics."
2018 - Citizen Data and Trust in Official Statistics.xml,solutions,"Through practices such as focus groups, the pilot testing of questions, and consulta‑tions with civic organisations about issues of consent, data protection, privacy, impartiality and professional standards, NSIs have sought to secure the trust of citizens"
2018 - Citizen Data and Trust in Official Statistics.xml,private corporations,"Big Data , because it is generated not by governments but private corporations such as platform owners, if used for official statistics could undermine these practices and the trust they have relatively well performed."
2018 - Citizen Data and Trust in Official Statistics.xml,political site of contention,another significant issue: the repurposing of Big Data for official statistics constitutes a break and detachment in the relation between NSIs and citizens.
2018 - Citizen Data and Trust in Official Statistics.xml,goals,"between NSIs and citizens to secure data as a collective accomplishment and social good. These relations enable citizens to be relatively active in their identification such as how they translate their knowledge and experiences into responses to questions and, we suggest, in turn contribute to accomplishing trust in and the legitimacy of official statistics."
2018 - Citizen Data and Trust in Official Statistics.xml,agency,These relations enable citizens to be relatively active in their identification such as how they translate their knowledge and experiences into responses to questions
2018 - Citizen Data and Trust in Official Statistics.xml,agency,"social ownership that stress sharing, collab‑orative, and co‑operative possibilities"
2018 - Citizen Data and Trust in Official Statistics.xml,method,"This proposition was initially put forward in the “Socialising Big Data” project, which involved collaborative workshops with national and international statisticians and led to a proposal for a social framework for Big Data (Ruppert et al., 2015)."
2018 - Citizen Data and Trust in Official Statistics.xml,goals,that imagine Big Data as a social and collective rather than private resource. 
2018 - Citizen Data and Trust in Official Statistics.xml,agency,The approach that we develop in this article builds on this aspira‑tion to develop the concept of “citizen data” as a form of “re‑attachment” and social ownership that establishes new relations with citizens as co‑producers of data for official statistics rather than as ever more distant subjects whose impres‑sions and confidence need to be managed.
2018 - Citizen Data and Trust in Official Statistics.xml,political site of contention,"Second, relations that involve more direct engagements with citizens are necessary to address another consequence of detachment when data such as that generated by social media, mobile phones and browsers is repur‑posed: the risk of a widening gap between citizens’ actions, identifications and expe‑riences and how they are categorised, included and excluded in statistics, the interpretation of that data, and citizens’ identifications with the resulting statistics."
2018 - Citizen Data and Trust in Official Statistics.xml,subjective statistics,gap between citizen experiences and official statistics which in turn calls for “subjective statistics”
2018 - Citizen Data and Trust in Official Statistics.xml,subjective statistics,"a more democratic debate between citizens and data producers and owners to achieve a “more subjective, differ‑entiated understanding of our world” , instead of “technocrats and politicians sitting together and confronting citizens in the end”"
2018 - Citizen Data and Trust in Official Statistics.xml,democratic approach,"democratic debate between citizens and data producers and owners to achieve a “more subjective, differ‑entiated understanding of our world”"
2018 - Citizen Data and Trust in Official Statistics.xml,co-production,co‑production that involve direct relations with citizens in the production of data for making official statistics
